num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,50,2,3987977,1847021313,1496104797,131904717,584219350,2834621,2492584,342037,132537,1020819
1e+06,50,2,3952125,1806229181,1511380381,129965512,573967013,2793264,2451114,342150,137538,1021323
1e+06,100,2,4077687,2166855725,1638672829,136185526,813912498,2978792,2605961,372831,71288,1027607
1e+06,100,2,4040766,2167819194,1637570930,136827935,810191497,2941044,2568383,372661,73163,1026559
1e+06,250,2,4207626,2747990591,1869075312,139073110,1280469644,3146846,2748846,398000,31164,1029616
1e+06,250,2,4173628,2730836501,1865978923,138293462,1260577818,3111876,2713843,398033,31351,1030401
1e+06,500,2,4268692,3361098989,2028965686,139693978,1808890459,3220325,2813826,406499,16070,1032297
1e+06,500,2,4228685,3344170980,2040481463,139533130,1795419109,3181376,2774884,406492,17243,1030066
1e+06,750,2,4251397,3799374175,2141723728,140387070,2191196504,3207905,2807168,400737,11307,1032185
1e+06,750,2,4222938,3745833285,2142492205,139951026,2122045495,3181388,2780711,400677,11161,1030389
1e+06,1000,2,4314556,4165876874,2214532071,140195240,2518160400,3274342,2862574,411768,8813,1031401
1e+06,1000,2,4286876,4128659373,2218138662,140121238,2481787412,3247379,2835658,411721,8875,1030622
1e+06,1250,2,4284517,4498359324,2275267366,139904004,2803018763,3245356,2840892,404464,7290,1031871
1e+06,1250,2,4238856,4506789035,2263244322,139533527,2811067377,3200841,2796391,404450,7108,1030907
1e+06,1500,2,4276293,4832389587,2317452268,140449683,3111611979,3239369,2835705,403664,6007,1030917
1e+06,1500,2,4245656,4817058900,2319074710,140186911,3100413076,3207808,2804173,403635,6091,1031757
1e+06,1750,2,4306589,5076911636,2346446961,139911379,3356496608,3268995,2852090,416905,5184,1032410
1e+06,1750,2,4265226,5069706820,2349080986,140081802,3348279005,3228392,2811388,417004,5256,1031578
1e+06,2000,2,4346467,5299682543,2380678026,139819453,3572996264,3310173,2895810,414363,4551,1031743
1e+06,2000,2,4324007,5321259237,2379361802,139870321,3594151645,3286775,2872447,414328,4540,1032692
1e+06,50,3,3368307,1760605129,1439063072,166201244,536531394,2210528,1826173,384355,132537,1025242
1e+06,50,3,3365858,1743775218,1462450410,165521595,523565408,2204865,1820484,384381,137538,1023455
1e+06,100,3,3405133,2091904615,1590084289,168570710,761523535,2305930,1891359,414571,71288,1027915
1e+06,100,3,3402135,2066807650,1603262577,168629064,748985062,2301312,1886781,414531,73163,1027660
1e+06,250,3,3433804,2658159112,1809454162,168948456,1219495965,2372120,1932842,439278,31164,1030520
1e+06,250,3,3435559,2676825644,1810105826,168571045,1219796315,2373132,1933881,439251,31351,1031076
1e+06,500,3,3460926,3251325678,1963114099,168736998,1731963705,2412488,1964557,447931,16070,1032368
1e+06,500,3,3462792,3251843496,1988871699,168726267,1728887069,2414887,1966951,447936,17243,1030662
1e+06,750,3,3484264,3697558117,2052510929,169956403,2132792009,2442538,1999588,442950,11307,1030419
1e+06,750,3,3491485,3658402295,2054112072,170070978,2089922270,2448838,2005872,442966,11161,1031486
1e+06,1000,3,3480127,4075523946,2143960089,168702602,2465016458,2440118,1986810,453308,8813,1031196
1e+06,1000,3,3481794,4045880396,2142058892,168990177,2431908444,2440611,1987320,453291,8875,1032308
1e+06,1250,3,3487323,4389840642,2190891719,170294455,2739113512,2448734,2002352,446382,7290,1031299
