1e+06,5,5,24382068,6361499790,8474377236,2312171186,750753906,2246046690,15132032,8180712,6951320,9250036
1e+06,5,5,2364408,547523229,695321191,219158934,66956134,152655182,1514373,820058,694315,850035
1e+06,9,5,2238278,716263914,776483612,234933539,199350836,127058241,1668794,798673,870121,569484
1e+06,100,5,2029212,1737200049,1221281721,282529292,924252874,80461262,1957924,766303,1191621,71288
1e+06,2000,5,2046988,4763234689,1894862619,296577910,3638861770,71164248,2042437,802188,1240249,4551
1e+06,5,8,2152212,1184160121,616504280,965225374,13389179,148871999,1302177,510799,791378,850035
1e+06,9,8,2059152,2217572119,732695500,1904683285,84223787,123106067,1489668,544539,945129,569484
1e+06,100,8,1735555,8059827938,1123927364,2649690692,5050767456,82082458,1664267,390285,1273982,71288
1e+06,2000,8,1711227,11703737547,1761088893,2748975037,8295422407,71469601,1706676,384890,1321786,4551
1e+06,5,12,2114379,3656978597,597291106,3467217387,462268,147101026,1264344,446764,817580,850035
1e+06,9,12,1903506,32199960343,680236890,31998453535,21355171,123278317,1334022,286699,1047323,569484
1e+06,100,12,1646086,121739369299,1063714922,87655141731,33760877158,82543770,1574798,213903,1360895,71288
