num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,50,2,3992837,1940788288,1524540635,131602431,668144908,2834621,2492584,342037,132537,1025679
1e+06,50,2,3956886,1895018109,1524138412,130767475,646221562,2793264,2451114,342150,137538,1026084
1e+06,100,2,4079551,2309896867,1659113158,136465866,930343700,2978792,2605961,372831,71288,1029471
1e+06,100,2,4044578,2293448558,1656298929,135467491,915241660,2941044,2568383,372661,73163,1030371
1e+06,250,2,4211840,2959896774,1896498004,137327405,1459166475,3146846,2748846,398000,31164,1033830
1e+06,250,2,4177198,2960041835,1903677547,136706664,1452725955,3111876,2713843,398033,31351,1033971
1e+06,500,2,4272227,3718764708,2053415239,138573698,2122156864,3220325,2813826,406499,16070,1035832
1e+06,500,2,4232558,3666551586,2064967301,138028884,2083545451,3181376,2774884,406492,17243,1033939
1e+06,750,2,4253975,4235405415,2169873494,137711524,2582267974,3207905,2807168,400737,11307,1034763
1e+06,750,2,4225992,4136734968,2170978610,138295214,2477646815,3181388,2780711,400677,11161,1033443
1e+06,1000,2,4318774,4653005391,2243728839,138259667,2978666140,3274342,2862574,411768,8813,1035619
1e+06,1000,2,4290827,4587935899,2247649017,138432246,2917174100,3247379,2835658,411721,8875,1034573
1e+06,1250,2,4288157,5022763534,2303196511,137620271,3309271061,3245356,2840892,404464,7290,1035511
1e+06,1250,2,4243844,5001409602,2296759921,137476642,3276413322,3200841,2796391,404450,7108,1035895
