num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,750,3,3.54417,2016642830,1838251391,76947248,1246577678,70100623,3532858,2756991,775867,11307
1e+06,750,3,3.49763,1996701629,1860525343,77374015,1225764214,70290218,3485859,2709996,775863,11771
1e+06,750,3,3.49342,1977179819,1835195200,76932691,1215553986,63192653,3482070,2706199,775871,11349
1e+06,750,3,3.43022,2010849131,1819761249,76590331,1237216497,70178930,3418888,2643042,775846,11328
1e+06,1000,3,3.55281,2233387644,1937967157,77615327,1427733562,71277829,3543945,2757656,786289,8860
1e+06,1000,3,3.55187,2259847250,1938778385,77849988,1449496039,69015556,3543094,2756832,786262,8774
1e+06,1000,3,3.50639,2210949423,1933839257,78553715,1404857286,70600864,3497523,2711238,786285,8868
1e+06,1000,3,3.49543,2211442107,1932890099,77632041,1415378682,62354064,3486511,2700168,786343,8915
1e+06,1000,3,3.45695,2277751785,1929847280,77820184,1467955697,70601349,3448102,2661817,786285,8852
1e+06,1250,3,3.57375,2491087966,1983823059,77984221,1653005333,71178171,3566593,2787139,779454,7152
1e+06,1250,3,3.57242,2462324159,1977955867,78299947,1629379378,70587047,3565208,2785783,779425,7215
1e+06,1250,3,3.51756,2451348724,1982497740,78749113,1619158845,70494008,3510459,2731016,779443,7096
1e+06,1250,3,3.52044,2408902705,1977559278,78253267,1579021951,69870305,3513366,2733913,779453,7071
1e+06,1250,3,3.46095,2396635332,1973412426,77943728,1566792278,70713427,3453894,2674482,779412,7052
1e+06,1500,3,3.58105,2661335410,2040998611,77856705,1828392672,68640020,3574998,2795745,779253,6054
1e+06,1500,3,3.59529,2650300752,2040142687,78255847,1819889550,67773462,3589313,2810067,779246,5981
1e+06,1500,3,3.52797,2632211323,2024551681,78014346,1802546619,68793906,3521930,2742706,779224,6044
1e+06,1500,3,3.54077,2579449748,2031367084,78274002,1749882501,68313898,3534759,2755515,779244,6007
1e+06,1500,3,3.48353,2612341617,2031892044,78255321,1780687596,68372169,3477458,2698222,779236,6075
1e+06,1750,3,3.5898,2724183874,2069502398,78278894,1886661660,68006928,3584564,2797454,787110,5238
1e+06,1750,3,3.59149,2802560525,2078122223,78743834,1963705965,66790572,3586329,2799221,787108,5157
1e+06,1750,3,3.53305,2758774803,2067657105,78929435,1916142511,67766085,3527911,2740835,787076,5135
1e+06,1750,3,3.54108,2747446562,2064084982,78720745,1907481771,67693051,3535766,2748665,787101,5309
1e+06,1750,3,3.47302,2775357838,2057391486,78137576,1939220219,67131209,3467734,2680635,787099,5287
1e+06,2000,3,3.59361,2943815737,2129323140,78670104,2080529210,67983881,3588787,2799596,789191,4820
1e+06,2000,3,3.59547,2949541758,2136475612,79024087,2086595170,67618110,3590663,2801504,789159,4804
1e+06,2000,3,3.53782,2942945249,2125537527,79353967,2081976732,68059524,3533010,2743851,789159,4808
1e+06,2000,3,3.53097,2845151819,2118340101,78648043,1986292274,68803735,3526077,2736920,789157,4896
1e+06,2000,3,3.48004,2914923607,2122970532,78447488,2051133217,68340100,3475241,2686046,789195,4798
1e+06,100,4,2.49553,1042792565,1284597032,111908202,438508085,84388468,2422994,1310518,1112476,72538
1e+06,100,4,2.49498,1018824660,1280392090,113266831,416291985,83112300,2422755,1310167,1112588,72225
1e+06,100,4,2.47338,1030736391,1281387629,113754729,424781031,83792010,2402718,1290234,1112484,70663
1e+06,100,4,2.47431,1040375562,1277610890,114221606,431589680,84248172,2401457,1288727,1112730,72850
1e+06,100,4,2.44861,1037144927,1280172514,114248207,429652530,84385439,2377635,1265068,1112567,70975
1e+06,250,4,2.53529,1385598922,1519372305,116442125,709877055,79002177,2503748,1360497,1143251,31539
1e+06,250,4,2.53675,1374326755,1506174334,118107249,693422364,78860532,2505590,1362320,1143270,31164
1e+06,250,4,2.51675,1368985368,1514436649,117520167,694705840,79011567,2484834,1341513,1143321,31914
1e+06,250,4,2.51645,1381918492,1495554501,118316165,705355942,79291905,2484977,1341810,1143167,31476
1e+06,250,4,2.49416,1379028595,1492624683,118678116,701675897,78705666,2463117,1319904,1143213,31039
1e+06,500,4,2.55652,1728813764,1668531892,118679081,1002961522,74272350,2540478,1387027,1153451,16039
1e+06,500,4,2.55694,1727926314,1674007002,119297076,993155111,74600376,2539630,1386145,1153485,17305
