num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,1000,16,1840075,3708883235,1779183573,406161988,2197748094,798182,324800,473382,8875,1033018
1e+06,1500,16,1839649,4298235017,1877799416,407476348,2731857180,800772,327694,473078,6007,1032870
1e+06,1500,16,1840969,4302377435,1869004439,407419921,2729770810,801491,328447,473044,6091,1033387
1e+06,2000,16,1837300,4860483787,1927541234,406457342,3266560133,801431,325498,475933,4551,1031318
1e+06,2000,16,1836926,4913138766,1927050368,406298489,3318374524,801310,325365,475945,4540,1031076
1e+06,10,18,2185578,936170458,782724587,297999756,1132970,629156,388661,240495,525036,1031386
1e+06,10,18,2185493,947670552,781643733,299399905,1296118,628509,387986,240523,525036,1031948
1e+06,50,18,1860842,1518093770,1099559771,474297227,274558204,697224,290441,406783,132537,1031081
1e+06,50,18,1865237,1501454686,1104283297,473975077,268549443,697417,290754,406663,137538,1030282
1e+06,100,18,1823789,1850322722,1242556091,494345470,492825737,720495,278321,442174,71288,1032006
1e+06,100,18,1825034,1833765878,1244563064,492645865,484120171,719883,277626,442257,73163,1031988
1e+06,500,18,1799753,3016373862,1593779863,508952590,1471590484,751542,280590,470952,16070,1032141
1e+06,500,18,1798039,3024686318,1616804816,504352050,1473503307,748851,277862,470989,17243,1031945
1e+06,1000,18,1796174,3802190295,1772139458,508022752,2168137443,754675,278505,476170,8813,1032686
1e+06,1000,18,1797995,3790582183,1775230802,508908387,2156966703,755744,279525,476219,8875,1033376
1e+06,1500,18,1797105,4436286948,1852838028,508342979,2754465030,758214,278447,479767,6007,1032884
1e+06,1500,18,1795871,4428133658,1848154778,506525665,2749553642,757875,278099,479776,6091,1031905
1e+06,2000,18,1796378,4949771291,1907049165,509548538,3236746953,759869,280662,479207,4551,1031958
1e+06,2000,18,1795827,4971641029,1910718351,506590724,3260483053,759520,280318,479202,4540,1031767
1e+06,10,20,2184961,932987960,784603444,301635804,295332,628361,387838,240523,525036,1031564
1e+06,10,20,2184827,936507416,776543525,301416749,344841,627407,386854,240553,525036,1032384
1e+06,50,20,1834305,1606979530,1089601424,586519387,255071239,669319,259858,409461,132537,1032449
1e+06,50,20,1837490,1600378518,1094091280,587063011,253713299,668695,259209,409486,137538,1031257
1e+06,100,20,1791097,1931757170,1240919529,607069005,471478167,688582,243677,444905,71288,1031227
1e+06,100,20,1793827,1927505932,1240646285,611462262,469071455,689434,244502,444932,73163,1031230
1e+06,500,20,1764026,3082580635,1590043962,630616988,1419979537,716905,243712,473193,16070,1031051
1e+06,500,20,1765627,3085768319,1614792159,632006528,1426945551,717270,244073,473197,17243,1031114
1e+06,1000,20,1762917,3947209286,1760462068,636775867,2201637260,723433,244365,479068,8813,1030671
