num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,10,2,4343133,793194647,997382381,67850726,256074135,122893650,3818097,3647045,171052,525036
1e+06,10,2,4174816,779899373,989355282,64683706,250339549,120498541,3649780,3478487,171293,525036
1e+06,50,2,5036466,1278410071,1325850304,80326691,587737947,88691293,4903929,4561892,342037,132537
1e+06,50,2,4925650,1261508238,1332650221,77441778,578134430,86566525,4788112,4445962,342150,137538
1e+06,100,2,5250865,1680039102,1488752242,84297306,826105899,76982235,5179577,4806746,372831,71288
1e+06,100,2,5148523,1675067551,1477941952,81782803,819324803,81642780,5075360,4702699,372661,73163
1e+06,250,2,5593288,2266764115,1689295422,88550350,1307436658,77998756,5562124,5164124,398000,31164
1e+06,250,2,5502170,2251690566,1690620129,86435349,1295392599,77457977,5470819,5072786,398033,31351
1e+06,500,2,5755844,2901763378,1851641827,90151158,1860981054,75232221,5739774,5333275,406499,16070
1e+06,500,2,5654663,2875702438,1854123878,88157466,1842085650,74664528,5637420,5230928,406492,17243
1e+06,750,2,5665721,3346614121,1966218230,89390822,2244758398,72457215,5654414,5253677,400737,11307
1e+06,750,2,5591979,3295997861,1959178692,86961761,2194091040,73045244,5580818,5180141,400677,11161
1e+06,1000,2,5877463,3684089280,2034591093,91875866,2575380669,72461463,5868650,5456882,411768,8813
1e+06,1000,2,5795916,3671505853,2038336622,89570240,2561712797,72205407,5787041,5375320,411721,8875
1e+06,1250,2,5732486,4130422668,2094048101,91276199,2945520500,74715568,5725196,5320732,404464,7290
1e+06,1250,2,5609051,4044288379,2089179904,86923515,2878721719,73730985,5601943,5197493,404450,7108
1e+06,1500,2,5731289,4375748063,2141603388,89892036,3201090624,71130576,5725282,5321618,403664,6007
1e+06,1500,2,5641392,4380725934,2143011250,87526748,3208904940,71616959,5635301,5231666,403635,6091
1e+06,1750,2,5795938,4613858884,2175530960,90582165,3440007317,70823035,5790754,5373849,416905,5184
1e+06,1750,2,5689641,4594734892,2184665254,88071635,3423466203,70803581,5684385,5267381,417004,5256
1e+06,2000,2,5958987,4844615724,2209078051,92581037,3665435494,71850971,5954436,5540073,414363,4551
1e+06,2000,2,5891000,4881413997,2209597777,90616215,3702614229,71805421,5886460,5472132,414328,4540
1e+06,10,3,3032166,693920375,911379741,90309240,210681762,119285745,2507130,1971086,536044,525036
1e+06,10,3,3011455,687518195,919792680,90005727,203326326,119973461,2486419,1950286,536133,525036
1e+06,50,3,3247112,1213766548,1250355108,107006861,529908454,86536469,3114575,2403582,710993,132537
1e+06,50,3,3247953,1210677100,1269872688,106803039,528152187,86444924,3110415,2399308,711107,137538
1e+06,100,3,3346625,1569919056,1403878128,112044309,766932944,82113130,3275337,2530772,744565,71288
1e+06,100,3,3345911,1556459474,1397916347,111284968,755443937,81440339,3272748,2528205,744543,73163
1e+06,250,3,3447412,2167903680,1616820840,116658768,1242994411,77730064,3416248,2644945,771303,31164
1e+06,250,3,3444555,2163923536,1616683576,115679063,1240258860,77455669,3413204,2641932,771272,31351
1e+06,500,3,3508983,2781975713,1781933579,118671471,1776536706,75210874,3492913,2712326,780587,16070
1e+06,500,3,3511333,2774831691,1798630330,118113554,1770689146,74904393,3494090,2713484,780606,17243
1e+06,750,3,3544289,3221540620,1864903195,119356421,2186532607,72141709,3532982,2757158,775824,11307
1e+06,750,3,3554918,3178780255,1872405066,118991998,2140638491,72630014,3543757,2767895,775862,11161
1e+06,1000,3,3559009,3609470596,1959367872,120671984,2530679790,72405033,3550196,2763879,786317,8813
1e+06,1000,3,3561421,3546122796,1954634598,119760544,2468709434,73037928,3552546,2766236,786310,8875
1e+06,1250,3,3580168,3944866631,2009837419,121341919,2824876608,73816030,3572878,2793435,779443,7290
