num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,8,8,2419554,953275564,870330369,185879190,64664187,780116,567651,212465,625036,1014402
1e+06,8,8,2415443,925014277,867875833,185156824,61063281,775225,562488,212737,625036,1015182
1e+06,8,8,2401951,908986549,868540109,183541210,58376746,760988,548371,212617,625036,1015927
1e+06,8,8,2401580,910434540,857554022,184267690,57848498,761696,549054,212642,625036,1014848
1e+06,8,8,2396943,920093649,863515840,184922962,58093071,757158,544668,212490,625036,1014749
1e+06,8,8,2396913,916729717,866092841,183870875,56523363,755083,542607,212476,625036,1016794
1e+06,8,8,2393573,918738503,869682715,184877522,57086324,752194,539695,212499,625036,1016343
1e+06,8,8,2393336,915729199,864710812,184594344,56803881,753011,540505,212506,625036,1015289
1e+06,8,8,2390260,916251437,869479912,183448546,56069704,748870,536204,212666,625036,1016354
1e+06,8,8,2389928,923325764,854718226,185454633,56777680,749821,537320,212501,625036,1015071
